              Lexeme	               LineNo	            TokenName	        ValuelfNumber	          parentNodeSymbol	           IsLeafNode	                NodeSymbol
                ----	                    0	                    e	                -----	        moduleDeclarations	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   program	             Not Leaf	        moduleDeclarations
                ----	                -----	                -----	                -----	                      ROOT	             Not Leaf	                   program
                  <<	                    5	                  DEF	                -----	                    module	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              otherModules	             Not Leaf	                    module
              module	                    5	               MODULE	                -----	                    module	              Is Leaf	                     -----
      var_demo_array	                    5	                   ID	                -----	                    module	              Is Leaf	                     -----
                  >>	                    5	               ENDDEF	                -----	                    module	              Is Leaf	                     -----
               takes	                    6	                TAKES	                -----	                    module	              Is Leaf	                     -----
               input	                    6	                INPUT	                -----	                    module	              Is Leaf	                     -----
                   [	                    6	                 SQBO	                -----	                    module	              Is Leaf	                     -----
                   x	                    6	                   ID	                -----	               input_plist	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    module	             Not Leaf	               input_plist
                   :	                    6	                COLON	                -----	               input_plist	              Is Leaf	                     -----
             integer	                    6	              INTEGER	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               input_plist	             Not Leaf	                  dataType
                   ,	                    6	                COMMA	                -----	          input_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               input_plist	             Not Leaf	          input_plist_dash
                   m	                    6	                   ID	                -----	          input_plist_dash	              Is Leaf	                     -----
                   :	                    6	                COLON	                -----	          input_plist_dash	              Is Leaf	                     -----
               array	                    6	                ARRAY	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	                  dataType
                   [	                    6	                 SQBO	                -----	                  dataType	              Is Leaf	                     -----
                   2	                    6	                  NUM	                    2	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	               range_array
                  ..	                    6	              RANGEOP	                -----	               range_array	              Is Leaf	                     -----
                  20	                    6	                  NUM	                   20	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                   ]	                    6	                 SQBC	                -----	                  dataType	              Is Leaf	                     -----
                  of	                    6	                   OF	                -----	                  dataType	              Is Leaf	                     -----
             integer	                    6	              INTEGER	                -----	                      type	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	                      type
                   ,	                    6	                COMMA	                -----	          input_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	          input_plist_dash
                   p	                    6	                   ID	                -----	          input_plist_dash	              Is Leaf	                     -----
                   :	                    6	                COLON	                -----	          input_plist_dash	              Is Leaf	                     -----
                real	                    6	                 REAL	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	                  dataType
                   ,	                    6	                COMMA	                -----	          input_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	          input_plist_dash
                  z1	                    6	                   ID	                -----	          input_plist_dash	              Is Leaf	                     -----
                   :	                    6	                COLON	                -----	          input_plist_dash	              Is Leaf	                     -----
               array	                    6	                ARRAY	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	                  dataType
                   [	                    6	                 SQBO	                -----	                  dataType	              Is Leaf	                     -----
                 low	                    6	                   ID	                -----	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	               range_array
                  ..	                    6	              RANGEOP	                -----	               range_array	              Is Leaf	                     -----
                high	                    6	                   ID	                -----	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                   ]	                    6	                 SQBC	                -----	                  dataType	              Is Leaf	                     -----
                  of	                    6	                   OF	                -----	                  dataType	              Is Leaf	                     -----
                real	                    6	                 REAL	                -----	                      type	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	                      type
                ----	                    0	                    e	                -----	          input_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	          input_plist_dash	             Not Leaf	          input_plist_dash
                   ]	                    6	                 SQBC	                -----	                    module	              Is Leaf	                     -----
                   ;	                    6	              SEMICOL	                -----	                    module	              Is Leaf	                     -----
             returns	                    7	              RETURNS	                -----	                       ret	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    module	             Not Leaf	                       ret
                   [	                    7	                 SQBO	                -----	                       ret	              Is Leaf	                     -----
                   n	                    7	                   ID	                -----	              output_plist	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                       ret	             Not Leaf	              output_plist
                   :	                    7	                COLON	                -----	              output_plist	              Is Leaf	                     -----
             integer	                    7	              INTEGER	                -----	                      type	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              output_plist	             Not Leaf	                      type
                   ,	                    7	                COMMA	                -----	         output_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              output_plist	             Not Leaf	         output_plist_dash
                   k	                    7	                   ID	                -----	         output_plist_dash	              Is Leaf	                     -----
                   :	                    7	                COLON	                -----	         output_plist_dash	              Is Leaf	                     -----
             boolean	                    7	              BOOLEAN	                -----	                      type	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	         output_plist_dash	             Not Leaf	                      type
                ----	                    0	                    e	                -----	         output_plist_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	         output_plist_dash	             Not Leaf	         output_plist_dash
                   ]	                    7	                 SQBC	                -----	                       ret	              Is Leaf	                     -----
                   ;	                    7	              SEMICOL	                -----	                       ret	              Is Leaf	                     -----
               start	                    8	                START	                -----	                 moduleDef	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    module	             Not Leaf	                 moduleDef
             declare	                    9	              DECLARE	                -----	               declareStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	               declareStmt
                   a	                    9	                   ID	                -----	                    idList	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               declareStmt	             Not Leaf	                    idList
                   ,	                    9	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    idList	             Not Leaf	               idList_dash
                   b	                    9	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                   ,	                    9	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                   h	                    9	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                    0	                    e	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                   :	                    9	                COLON	                -----	               declareStmt	              Is Leaf	                     -----
             integer	                    9	              INTEGER	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               declareStmt	             Not Leaf	                  dataType
                   ;	                    9	              SEMICOL	                -----	               declareStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                 moduleDef	             Not Leaf	                statements
           get_value	                   10	            GET_VALUE	                -----	                    ioStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	                    ioStmt
                   (	                   10	                   BO	                -----	                    ioStmt	              Is Leaf	                     -----
                   b	                   10	                   ID	                -----	                    ioStmt	              Is Leaf	                     -----
                   )	                   10	                   BC	                -----	                    ioStmt	              Is Leaf	                     -----
                   ;	                   10	              SEMICOL	                -----	                    ioStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
             declare	                   11	              DECLARE	                -----	               declareStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	               declareStmt
                   p	                   11	                   ID	                -----	                    idList	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               declareStmt	             Not Leaf	                    idList
                ----	                    0	                    e	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    idList	             Not Leaf	               idList_dash
                   :	                   11	                COLON	                -----	               declareStmt	              Is Leaf	                     -----
               array	                   11	                ARRAY	                -----	                  dataType	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               declareStmt	             Not Leaf	                  dataType
                   [	                   11	                 SQBO	                -----	                  dataType	              Is Leaf	                     -----
                   2	                   11	                  NUM	                    2	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	               range_array
                  ..	                   11	              RANGEOP	                -----	               range_array	              Is Leaf	                     -----
                  20	                   11	                  NUM	                   20	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               range_array	             Not Leaf	                     index
                   ]	                   11	                 SQBC	                -----	                  dataType	              Is Leaf	                     -----
                  of	                   11	                   OF	                -----	                  dataType	              Is Leaf	                     -----
             integer	                   11	              INTEGER	                -----	                      type	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                  dataType	             Not Leaf	                      type
                   ;	                   11	              SEMICOL	                -----	               declareStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   a	                   12	                   ID	                -----	            assignmentStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                simpleStmt	             Not Leaf	            assignmentStmt
                  :=	                   12	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 whichStmt	             Not Leaf	              lvalueIDStmt
                   m	                   12	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                   [	                   12	                 SQBO	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   5	                   12	                  NUM	                    5	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   whichId	             Not Leaf	                     index
                   ]	                   12	                 SQBC	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                   +	                   12	                 PLUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	             op_plus_minus
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                   3	                   12	                  NUM	                    3	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	                      term
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                ----	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   12	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            assignmentStmt	             Not Leaf	                 whichStmt
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	                simpleStmt
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   p	                   13	                   ID	                -----	            assignmentStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                simpleStmt	             Not Leaf	            assignmentStmt
                  :=	                   13	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 whichStmt	             Not Leaf	              lvalueIDStmt
                   m	                   13	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                ----	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   13	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            assignmentStmt	             Not Leaf	                 whichStmt
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	                simpleStmt
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   k	                   14	                   ID	                -----	            assignmentStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                simpleStmt	             Not Leaf	            assignmentStmt
                  :=	                   14	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 whichStmt	             Not Leaf	              lvalueIDStmt
                true	                   14	                 TRUE	                -----	                boolConstt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	                boolConstt
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                ----	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   14	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            assignmentStmt	             Not Leaf	                 whichStmt
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	                simpleStmt
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   p	                   15	                   ID	                -----	            assignmentStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                simpleStmt	             Not Leaf	            assignmentStmt
                  :=	                   15	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 whichStmt	             Not Leaf	              lvalueIDStmt
                   m	                   15	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                   +	                   15	                 PLUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	             op_plus_minus
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                   p	                   15	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	                      term
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                ----	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   15	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            assignmentStmt	             Not Leaf	                 whichStmt
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	                simpleStmt
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   p	                   16	                   ID	                -----	            assignmentStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                simpleStmt	             Not Leaf	            assignmentStmt
                   [	                   16	                 SQBO	                -----	             lvalueARRStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 whichStmt	             Not Leaf	             lvalueARRStmt
                  10	                   16	                  NUM	                   10	                     index	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	             lvalueARRStmt	             Not Leaf	                     index
                   ]	                   16	                 SQBC	                -----	             lvalueARRStmt	              Is Leaf	                     -----
                  :=	                   16	             ASSIGNOP	                -----	             lvalueARRStmt	              Is Leaf	                     -----
                   a	                   16	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                   *	                   16	                  MUL	                -----	                op_mul_div	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                   b	                   16	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                   -	                   16	                MINUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	             op_plus_minus
